ticker,date,open,high,low,close,volume
AAPL,2020-01-01,100.8422,101.3777,100.4629,100.9984,28758630
AAPL,2020-01-02,100.3407,101.0503,100.0099,100.7195,27717723
AAPL,2020-01-03,102.1955,102.9376,101.2906,102.0327,43720675
AAPL,2020-01-06,105.8935,106.7138,104.3681,105.1885,10101948
AAPL,2020-01-07,103.7154,104.9835,103.4288,104.697,25069132
AAPL,2020-01-08,104.2678,105.26,103.2157,104.2079,1278495
AAPL,2020-01-09,107.4656,107.8625,107.1548,107.5517,29446755
AAPL,2020-01-10,109.5819,110.2983,108.4988,109.2152,32705188
AAPL,2020-01-13,108.3099,109.1558,107.3487,108.1946,33697859
AAPL,2020-01-14,108.9638,110.3629,107.9759,109.375,28045086
AAPL,2020-01-15,108.1931,109.2172,107.3418,108.366,49010577
AAPL,2020-01-16,106.934,108.2752,106.02,107.3613,23694270
AAPL,2020-01-17,108.4625,109.0068,107.3377,107.8821,11110807
AAPL,2020-01-20,103.8429,104.7371,102.9378,103.8319,25657271
AAPL,2020-01-21,101.2645,101.5755,99.9999,100.3109,20807702
AAPL,2020-01-22,99.1591,100.1028,98.2455,99.1892,21757269
AAPL,2020-01-23,96.8559,97.8424,96.2137,97.2002,1700033
AAPL,2020-01-24,97.0727,98.6571,96.2286,97.813,6107742
AAPL,2020-01-27,95.1867,96.6187,94.6207,96.0527,24813494
AAPL,2020-01-28,92.6379,94.0617,91.9538,93.3775,16249418
AAPL,2020-01-29,96.2836,96.9037,95.5352,96.1552,4901403
AAPL,2020-01-30,95.9655,96.73,94.9575,95.722,34688877
AAPL,2020-01-31,95.0936,96.1497,94.7953,95.8514,30763679
AAPL,2020-02-03,93.5755,93.8506,92.8836,93.1586,42859263
AAPL,2020-02-04,91.9273,92.551,91.5261,92.1499,12055589
AAPL,2020-02-05,92.4223,92.7637,92.0131,92.3545,24659943
AAPL,2020-02-06,90.9803,91.7961,89.4371,90.2528,29986495
AAPL,2020-02-07,91.3413,91.7181,90.5567,90.9335,15833901
AAPL,2020-02-10,89.7271,90.7299,88.8448,89.8477,14490091
AAPL,2020-02-11,88.927,89.7741,88.478,89.3251,35425967
AAPL,2020-02-12,87.307,88.5977,86.9658,88.2566,11172219
AAPL,2020-02-13,91.2581,92.3588,90.4866,91.5874,15857661
AAPL,2020-02-14,91.466,92.2439,90.7847,91.5627,2742166
AAPL,2020-02-17,89.2036,90.2051,88.6445,89.6461,18812624
AAPL,2020-02-18,91.0732,91.7404,90.4658,91.133,19238528
AAPL,2020-02-19,88.969,89.671,88.2327,88.9348,28741430
AAPL,2020-02-20,89.2067,89.6834,88.8304,89.3071,42182174
AAPL,2020-02-21,85.5954,86.7309,84.739,85.8745,22831145
AAPL,2020-02-24,83.6939,84.5144,82.803,83.6234,43439480
AAPL,2020-02-25,84.1388,84.7582,83.3339,83.9533,44395177
AAPL,2020-02-26,84.7379,85.543,84.3974,85.2024,3873524
AAPL,2020-02-27,86.0981,86.748,84.8451,85.495,20046625
AAPL,2020-02-28,85.2554,85.5569,84.996,85.2974,23790920
AAPL,2020-03-02,84.7933,85.0248,84.5539,84.7853,14855509
AAPL,2020-03-03,82.6064,82.9712,81.95,82.3149,27869644
AAPL,2020-03-04,81.2329,81.7173,80.6539,81.1383,15226520
AAPL,2020-03-05,80.7774,81.5019,79.6697,80.3942,2557009
AAPL,2020-03-06,82.2299,82.883,81.4589,82.112,48082866
AAPL,2020-03-09,82.4251,83.3455,81.7579,82.6783,32773643
AAPL,2020-03-10,79.9581,80.4123,79.3596,79.8138,35152336
AAPL,2020-03-11,79.8734,80.7421,79.4641,80.3328,13146062
AAPL,2020-03-12,79.7597,80.1809,79.2954,79.7165,6907726
AAPL,2020-03-13,78.6314,79.4237,77.8523,78.6445,30088574
AAPL,2020-03-16,79.5297,79.8355,79.3067,79.6125,6826038
AAPL,2020-03-17,81.2189,82.0028,80.4873,81.2712,1237068
AAPL,2020-03-18,82.02,83.3654,81.4537,82.7991,22801808
AAPL,2020-03-19,81.1976,81.8923,80.7262,81.421,13537895
AAPL,2020-03-20,80.9565,81.599,80.2765,80.919,1851161
AAPL,2020-03-23,81.522,82.0229,80.9559,81.4569,33927450
AAPL,2020-03-24,82.635,83.8135,81.8832,83.0618,31645204
AAPL,2020-03-25,82.7902,83.5516,81.5081,82.2696,22550161
AAPL,2020-03-26,81.6097,82.4288,81.1455,81.9646,10093964
AAPL,2020-03-27,80.5596,80.9264,79.8041,80.1709,32209167
AAPL,2020-03-30,78.4429,78.9863,77.7323,78.2757,36193278
AAPL,2020-03-31,79.301,80.3014,78.5577,79.5581,44402450
AAPL,2020-04-01,82.4713,82.8048,81.4121,81.7456,8870907
AAPL,2020-04-02,81.1408,82.2134,80.5554,81.628,9713542
AAPL,2020-04-03,83.6656,84.2683,82.6802,83.2829,33799480
AAPL,2020-04-06,84.3071,84.9781,83.2165,83.8874,2802466
AAPL,2020-04-07,82.5343,83.1008,82.2456,82.812,13210223
AAPL,2020-04-08,83.9935,84.6498,82.7564,83.4127,3382865
AAPL,2020-04-09,85.9109,86.8199,85.1094,86.0185,1464310
AAPL,2020-04-10,86.0809,86.4116,85.6261,85.9568,48376166
AAPL,2020-04-13,88.8046,89.1844,88.3095,88.6892,4714755
AAPL,2020-04-14,84.1055,84.9855,83.2819,84.162,43500282
AAPL,2020-04-15,85.9037,86.2337,85.2269,85.5569,5303677
AAPL,2020-04-16,86.046,86.8094,84.9425,85.706,39307724
AAPL,2020-04-17,84.4501,85.7225,83.9226,85.1949,24005168
AAPL,2020-04-20,85.9081,86.2797,84.9798,85.3514,16533284
AAPL,2020-04-21,81.3433,82.7659,80.6026,82.0252,44586949
AAPL,2020-04-22,82.0872,82.5641,81.1887,81.6656,23451154
AAPL,2020-04-23,82.7143,83.2375,81.7277,82.2509,9009292
AAPL,2020-04-24,84.2563,85.1584,83.8162,84.7184,6108728
AAPL,2020-04-27,83.6726,84.4273,83.0901,83.8448,23546265
AAPL,2020-04-28,82.0438,82.8074,81.7364,82.4999,44942157
AAPL,2020-04-29,81.5884,82.1199,81.1446,81.6762,18696350
AAPL,2020-04-30,83.0571,83.998,82.2444,83.1853,48574147
AAPL,2020-05-01,84.0604,84.4319,83.3626,83.734,7379515
AAPL,2020-05-04,83.3943,84.0095,82.2363,82.8515,25856102
AAPL,2020-05-05,84.2905,84.704,83.293,83.7064,45872775
AAPL,2020-05-06,83.6333,84.5653,82.9371,83.8691,32042380
AAPL,2020-05-07,85.4203,85.8074,85.1225,85.5097,24266975
AAPL,2020-05-08,83.6077,85.1415,82.7836,84.3174,3570725
AAPL,2020-05-11,83.4292,84.2612,82.9347,83.7667,29576958
AAPL,2020-05-12,83.5133,83.8682,82.7574,83.1124,36980709
AAPL,2020-05-13,81.3669,81.6132,80.4686,80.7149,48044727
AAPL,2020-05-14,80.6932,81.5007,80.3869,81.1943,39879284
AAPL,2020-05-15,81.3776,82.1416,80.8554,81.6194,46143490
AAPL,2020-05-18,81.6169,82.0381,81.2066,81.6277,28444866
AAPL,2020-05-19,81.3594,82.0676,80.5375,81.2456,48084780
AAPL,2020-05-20,78.6583,79.4307,78.2057,78.978,2317621
AAPL,2020-05-21,78.4824,78.8243,77.9745,78.3164,20145109
AAPL,2020-05-22,77.5971,78.3359,77.0427,77.7814,44383391
AAPL,2020-05-25,76.5378,77.1404,75.9407,76.5433,23543356
AAPL,2020-05-26,76.5052,76.7915,76.0105,76.2968,6053127
AAPL,2020-05-27,76.9183,77.2073,76.6269,76.9159,38625927
AAPL,2020-05-28,79.6986,80.0945,79.4769,79.8729,11205368
AAPL,2020-05-29,80.1083,80.7953,79.4652,80.1522,19868229
AAPL,2020-06-01,80.5306,81.1687,79.928,80.5661,13019231
AAPL,2020-06-02,80.2975,80.9338,79.81,80.4463,4681890
AAPL,2020-06-03,77.3174,78.1013,76.6337,77.4176,6991305
AAPL,2020-06-04,77.9951,78.656,76.7156,77.3766,35427266
AAPL,2020-06-05,77.6871,78.2209,76.9361,77.4698,15431999
AAPL,2020-06-08,81.2617,82.1154,80.5283,81.3819,39191802
AAPL,2020-06-09,81.352,81.6798,80.7416,81.0694,41180811
AAPL,2020-06-10,81.4237,81.8322,81.1514,81.5599,43562736
AAPL,2020-06-11,81.9813,82.35,81.1346,81.5033,47015290
AAPL,2020-06-12,79.7675,80.0006,79.3872,79.6203,6887774
AAPL,2020-06-15,81.4174,81.9893,80.8892,81.4611,47055772
AAPL,2020-06-16,82.8806,83.6682,81.9078,82.6954,41906564
AAPL,2020-06-17,83.3543,84.249,83.1194,84.0141,14950653
AAPL,2020-06-18,82.0351,82.7817,81.7533,82.4999,18809715
AAPL,2020-06-19,84.3408,85.3472,83.8409,84.8473,4820888
AAPL,2020-06-22,82.5604,83.3445,81.7174,82.5015,42284734
AAPL,2020-06-23,84.1986,84.6053,83.0689,83.4755,8534504
AAPL,2020-06-24,88.1868,88.7366,86.664,87.2138,12364638
AAPL,2020-06-25,85.7758,86.0162,85.2626,85.503,20108564
AAPL,2020-06-26,84.7518,85.0572,84.2347,84.5401,28178579
AAPL,2020-06-29,83.9459,85.5473,83.1073,84.7087,47420350
